name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
Lawrence Technological University,Michigan,MI,Private,4 Year,9950,33570,43520,33570,43520,4,57900,108400,49,60
Lawrence University,Wisconsin,WI,Private,4 Year,10341,47475,57816,47475,57816,5,51500,98800,58,25
Lehigh University,Pennsylvania,PA,Private,4 Year,13600,52930,66530,52930,66530,2,69500,134100,45,52
LeTourneau University,Texas,TX,Private,4 Year,9970,30210,40180,30210,40180,18,56600,98900,53,21
Lewis & Clark College,Oregon,OR,Private,4 Year,12490,50934,63424,50934,63424,10,50000,93200,51,12
Lewis University,Illinois,IL,Private,4 Year,10578,32450,43028,32450,43028,25,49700,89800,53,14
Lewis-Clark State College,Idaho,ID,Public,4 Year,7580,6618,14198,19236,26816,7,44900,77600,60,5
Lindenwood University,Missouri,MO,Private,4 Year,9000,17600,26600,17600,26600,21,45100,78500,48,9
Lindsey Wilson College,Kentucky,KY,Private,4 Year,9385,24850,34235,24850,34235,25,35300,64100,52,2
Lipscomb University,Tennessee,TN,Private,4 Year,12652,32144,44796,32144,44796,9,49000,84800,59,12
Longwood University,Virginia,VA,Public,4 Year,11746,13340,25086,29300,41046,21,47300,83300,54,9
Loras College,Iowa,IA,Private,4 Year,8275,34184,42459,34184,42459,7,48000,90100,56,14
Louisiana College,Louisiana,LA,Private,4 Year,5618,17000,22618,17000,22618,17,44800,79800,58,4
Louisiana Tech University,Louisiana,LA,Public,4 Year,6495,9645,16140,18558,25053,3,53100,100700,57,24
Loyola Marymount University,California,CA,Private,4 Year,14490,48522,63012,48522,63012,18,58500,113300,39,9
Loyola University Chicago,Illinois,IL,Private,4 Year,14480,44048,58528,44048,58528,12,53400,96000,45,15
Loyola University Maryland,Maryland,MD,Private,4 Year,14430,49085,63515,49085,63515,5,59900,111200,40,8
Loyola University New Orleans,Louisiana,LA,Private,4 Year,13380,39692,53072,39692,53072,9,47900,88600,47,4
Luther College,Iowa,IA,Private,4 Year,9460,42290,51750,42290,51750,14,48200,85900,49,21
Lyndon State College,Vermont,VT,Public,4 Year,10598,12074,22672,25394,35992,13,41500,75100,49,8
Lynn University,Florida,FL,Private,4 Year,12170,38210,50380,38210,50380,22,46100,85000,45,2
Lyon College,Arkansas,AR,Private,4 Year,9130,28790,37920,28790,37920,15,41200,74300,53,33
Macalester College,Minnesota,MN,Private,4 Year,12156,54344,66500,54344,66500,6,53600,100400,51,31
Maharishi University of Management,Iowa,IA,Private,4 Year,7400,16530,23930,16530,23930,16,46800,85200,NA,65
Maine College of Art,Maine,ME,Private,4 Year,11890,35000,46890,35000,46890,17,36300,64600,37,0
Maine Maritime Academy,Maine,ME,Public,4 Year,10310,13478,23788,27098,37408,1,67000,121800,65,48
Manchester University,Indiana,IN,Private,4 Year,9580,32758,42338,32758,42338,20,46900,84700,56,10
Manhattan Christian College,Kansas,KS,Private,4 Year,9092,15850,24942,15850,24942,24,39400,72200,NA,0
Marietta College,Ohio,OH,Private,4 Year,11320,36040,47360,36040,47360,15,51200,94300,57,45
Marquette University,Wisconsin,WI,Private,4 Year,12720,41870,54590,41870,54590,2,57800,105900,52,25
Maryland Institute College of Art,Maryland,MD,Private,4 Year,13280,48630,61910,48630,61910,24,49000,84500,40,0
